Loading C:\Editor Test\famidash\LEVELS\LEVEL DATA\lvlset_HUGE\clubstep.tmx...
Map: 906x40  tiles=36240  sprites=36240
Config: C:\Users\kando\Documents\Famidash Editor\clubstep.tmx.cfg (46 offsets, 0 anchors)
Start: (0, 577)  speed=1  maxFall=0x7  bias=0.50
[BFS] Starting exhaustive BFS exploration (frontier cap=30000)

[BFS] f=63 front=11 dedup=11 deaths=0 Y=[542..564] mode=0 grav=N XΓëê174px pct=1% ms/f=1.1
[BFS] f=64 front=10 dedup=10 deaths=2 Y=[542..560] mode=0 grav=N XΓëê177px pct=1% ms/f=1.1
[BFS] f=65 front=9 dedup=9 deaths=0 Y=[542..564] mode=0 grav=N XΓëê179px pct=1% ms/f=1.1
[BFS] f=66 front=9 dedup=9 deaths=0 Y=[542..568] mode=0 grav=N XΓëê182px pct=1% ms/f=1.1
[BFS] f=67 front=7 dedup=7 deaths=2 Y=[542..564] mode=0 grav=N XΓëê185px pct=1% ms/f=1.1
[BFS] f=68 front=7 dedup=7 deaths=0 Y=[542..568] mode=0 grav=N XΓëê188px pct=1% ms/f=1.1
[BFS] f=69 front=7 dedup=7 deaths=0 Y=[542..573] mode=0 grav=N XΓëê190px pct=1% ms/f=1.0
[BFS] f=70 front=6 dedup=6 deaths=2 Y=[543..568] mode=0 grav=N XΓëê193px pct=1% ms/f=1.0
[BFS] f=71 front=6 dedup=6 deaths=0 Y=[543..573] mode=0 grav=N XΓëê196px pct=1% ms/f=1.0
[BFS] f=72 front=7 dedup=7 deaths=0 Y=[544..577] mode=0 grav=N XΓëê199px pct=1% ms/f=1.0
[BFS] f=73 front=8 dedup=8 deaths=0 Y=[546..577] mode=0 grav=N XΓëê201px pct=1% ms/f=1.0
[BFS] f=74 front=8 dedup=8 deaths=0 Y=[548..577] mode=0 grav=N XΓëê204px pct=1% ms/f=1.0
[BFS] f=75 front=9 dedup=9 deaths=0 Y=[550..577] mode=0 grav=N XΓëê207px pct=1% ms/f=1.0
[BFS] f=76 front=9 dedup=9 deaths=0 Y=[553..577] mode=0 grav=N XΓëê210px pct=1% ms/f=1.0
[BFS] f=77 front=10 dedup=10 deaths=0 Y=[555..577] mode=0 grav=N XΓëê212px pct=1% ms/f=0.9
[BFS] f=78 front=10 dedup=10 deaths=0 Y=[552..577] mode=0 grav=N XΓëê215px pct=1% ms/f=0.9
[BFS] f=79 front=11 dedup=11 deaths=0 Y=[549..577] mode=0 grav=N XΓëê218px pct=1% ms/f=0.9
[BFS] f=80 front=11 dedup=11 deaths=0 Y=[547..577] mode=0 grav=N XΓëê221px pct=1% ms/f=0.9
[BFS] f=81 front=12 dedup=12 deaths=0 Y=[545..577] mode=0 grav=N XΓëê224px pct=1% ms/f=0.9
[BFS] f=82 front=12 dedup=12 deaths=0 Y=[544..577] mode=0 grav=N XΓëê226px pct=1% ms/f=0.9
[BFS] f=83 front=13 dedup=13 deaths=0 Y=[543..577] mode=0 grav=N XΓëê229px pct=1% ms/f=0.9
[BFS] f=84 front=14 dedup=14 deaths=0 Y=[542..577] mode=0 grav=N XΓëê232px pct=1% ms/f=0.9
[BFS] f=85 front=14 dedup=14 deaths=0 Y=[542..577] mode=0 grav=N XΓëê235px pct=1% ms/f=0.9
[BFS] f=86 front=15 dedup=15 deaths=0 Y=[542..577] mode=0 grav=N XΓëê237px pct=1% ms/f=0.8
[BFS] f=87 front=13 dedup=13 deaths=0 Y=[542..569] mode=0 grav=N XΓëê240px pct=1% ms/f=0.8
[BFS] f=88 front=13 dedup=13 deaths=0 Y=[542..562] mode=0 grav=N XΓëê243px pct=1% ms/f=0.8
[BFS] f=89 front=12 dedup=12 deaths=0 Y=[542..558] mode=0 grav=N XΓëê246px pct=1% ms/f=0.8
[BFS] f=90 front=12 dedup=12 deaths=0 Y=[542..555] mode=0 grav=N XΓëê248px pct=1% ms/f=0.8
[BFS] f=91 front=11 dedup=11 deaths=0 Y=[542..552] mode=0 grav=N XΓëê251px pct=1% ms/f=0.8
[BFS] f=92 front=11 dedup=11 deaths=0 Y=[539..553] mode=0 grav=N XΓëê254px pct=1% ms/f=0.8
[BFS] f=93 front=10 dedup=10 deaths=0 Y=[534..556] mode=0 grav=N XΓëê257px pct=1% ms/f=0.8
[BFS] f=94 front=10 dedup=10 deaths=0 Y=[530..560] mode=0 grav=N XΓëê259px pct=1% ms/f=0.8
[BFS] f=95 front=9 dedup=9 deaths=0 Y=[526..564] mode=0 grav=N XΓëê262px pct=1% ms/f=0.8
[BFS] f=96 front=9 dedup=9 deaths=0 Y=[522..568] mode=0 grav=N XΓëê265px pct=1% ms/f=0.8
[BFS] f=97 front=8 dedup=8 deaths=0 Y=[519..573] mode=0 grav=N XΓëê268px pct=1% ms/f=0.8
[BFS] f=98 front=7 dedup=7 deaths=2 Y=[516..568] mode=0 grav=N XΓëê271px pct=1% ms/f=0.8
[BFS] f=99 front=7 dedup=7 deaths=0 Y=[514..561] mode=0 grav=N XΓëê273px pct=1% ms/f=0.8
[BFS] f=100 front=8 dedup=8 deaths=0 Y=[512..561] mode=0 grav=N XΓëê276px pct=1% ms/f=0.7
[BFS] f=101 front=8 dedup=8 deaths=0 Y=[510..561] mode=0 grav=N XΓëê279px pct=1% ms/f=0.7
[BFS] f=102 front=6 dedup=6 deaths=4 Y=[509..555] mode=0 grav=N XΓëê282px pct=1% ms/f=0.7
[BFS] f=103 front=6 dedup=6 deaths=0 Y=[509..556] mode=0 grav=N XΓëê284px pct=1% ms/f=0.7
[BFS] f=104 front=6 dedup=6 deaths=0 Y=[508..560] mode=0 grav=N XΓëê287px pct=1% ms/f=0.7
  Progress: 1%   
[BFS] f=105 front=6 dedup=6 deaths=2 Y=[503..556] mode=0 grav=N XΓëê290px pct=2% ms/f=0.7
[BFS] f=106 front=8 dedup=8 deaths=0 Y=[499..560] mode=0 grav=N XΓëê293px pct=2% ms/f=0.7
[BFS] f=107 front=12 dedup=12 deaths=0 Y=[494..561] mode=0 grav=N XΓëê295px pct=2% ms/f=0.7
[BFS] f=108 front=17 dedup=17 deaths=0 Y=[490..561] mode=0 grav=N XΓëê298px pct=2% ms/f=0.7
[BFS] f=109 front=22 dedup=22 deaths=0 Y=[487..561] mode=0 grav=N XΓëê301px pct=2% ms/f=0.7
[BFS] f=110 front=25 dedup=25 deaths=0 Y=[484..561] mode=0 grav=N XΓëê304px pct=2% ms/f=0.7
[BFS] f=111 front=28 dedup=28 deaths=0 Y=[481..562] mode=0 grav=N XΓëê306px pct=2% ms/f=0.7
[BFS] f=112 front=30 dedup=30 deaths=0 Y=[479..563] mode=0 grav=N XΓëê309px pct=2% ms/f=0.7
[BFS] f=113 front=31 dedup=31 deaths=0 Y=[477..565] mode=0 grav=N XΓëê312px pct=2% ms/f=0.7
[BFS] f=114 front=31 dedup=31 deaths=0 Y=[476..567] mode=0 grav=N XΓëê315px pct=2% ms/f=0.7
[BFS] f=115 front=34 dedup=34 deaths=0 Y=[475..569] mode=0 grav=N XΓëê318px pct=2% ms/f=0.7
