frame,worldX,worldY,X_screen,Y_screen,X_fixed,Y_fixed,VelX_fixed,VelY_fixed,scrollX,scrollY_linear,scrollY_raw,scrollY_subpx,gravity,mini,gamemode,cubedata,onGround,jblocked
123,550,905,80,178,0x5010,0xB200,708,0,462,719,0x02EF,0,0,0,0,0x00,0,0
124,552,905,80,178,0x50D4,0xB200,708,0,464,719,0x02EF,0,0,0,0,0x00,0,0
125,555,905,80,178,0x5098,0xB200,708,-1424,467,719,0x02EF,0,0,0,0,0x00,0,0
126,558,899,80,172,0x505C,0xACDB,708,-1317,470,719,0x02EF,0,0,0,0,0x00,0,0
127,561,895,80,168,0x5020,0xA821,708,-1210,473,719,0x02EF,0,0,0,0,0x00,0,0
128,563,890,80,163,0x50E4,0xA3D2,708,-1103,475,719,0x02EF,0,0,0,0,0x00,0,0
129,566,886,80,159,0x50A8,0x9FEE,708,-996,478,719,0x02EF,0,0,0,0,0x00,0,0
130,569,883,80,156,0x506C,0x9C75,708,-889,481,719,0x02EF,0,0,0,0,0x00,0,0
131,572,880,80,153,0x5030,0x9967,708,-782,484,719,0x02EF,0,0,0,0,0x00,0,0
132,574,877,80,150,0x50F4,0x96C4,708,-675,486,719,0x02EF,0,0,0,0,0x00,0,0
133,577,875,80,148,0x50B8,0x948C,708,-568,489,719,0x02EF,0,0,0,0,0x00,0,0
134,580,873,80,146,0x507C,0x92BF,708,-461,492,719,0x02EF,0,0,0,0,0x00,0,0
135,583,872,80,145,0x5040,0x915D,708,-354,495,719,0x02EF,0,0,0,0,0x00,0,0
136,586,871,80,144,0x5004,0x9066,708,-247,498,719,0x02EF,0,0,0,0,0x00,0,0
137,588,870,80,143,0x50C8,0x8FDA,708,-140,500,719,0x02EF,0,0,0,0,0x00,0,0
138,591,870,80,143,0x508C,0x8FB9,708,-33,503,719,0x02EF,0,0,0,0,0x00,0,0
139,594,871,80,144,0x5050,0x9003,708,74,506,719,0x02EF,0,0,0,0,0x00,0,0
140,597,871,80,144,0x5014,0x90B8,708,181,509,719,0x02EF,0,0,0,0,0x00,0,0
141,599,872,80,145,0x50D8,0x91D8,708,288,511,719,0x02EF,0,0,0,0,0x00,0,0
142,602,874,80,147,0x509C,0x9363,708,395,514,719,0x02EF,0,0,0,0,0x00,0,0
143,605,876,80,149,0x5060,0x9559,708,502,517,719,0x02EF,0,0,0,0,0x00,0,0
144,608,878,80,151,0x5024,0x97BA,708,609,520,719,0x02EF,0,0,0,0,0x00,0,0
145,610,881,80,154,0x50E8,0x9A86,708,716,522,719,0x02EF,0,0,0,0,0x00,0,0
146,613,884,80,157,0x50AC,0x9DBD,708,823,525,719,0x02EF,0,0,0,0,0x00,0,0
147,616,888,80,161,0x5070,0xA15F,708,930,528,719,0x02EF,0,0,0,0,0x00,0,0
148,619,892,80,165,0x5034,0xA56C,708,1037,531,719,0x02EF,0,0,0,0,0x00,0,0
149,621,896,80,169,0x50F8,0xA9E4,708,1144,533,719,0x02EF,0,0,0,0,0x00,0,0
150,624,901,80,174,0x50BC,0xAEC7,708,1251,536,719,0x02EF,0,0,0,0,0x00,0,0
151,627,905,80,178,0x5080,0xB200,708,0,539,719,0x02EF,0,0,0,0,0x00,0,0
152,630,905,80,178,0x5044,0xB200,708,0,542,719,0x02EF,0,0,0,0,0x00,0,0
153,633,905,80,178,0x5008,0xB200,708,0,545,719,0x02EF,0,0,0,0,0x00,0,0
154,635,905,80,178,0x50CC,0xB200,708,0,547,719,0x02EF,0,0,0,0,0x00,0,0
155,638,905,80,178,0x5090,0xB200,708,0,550,719,0x02EF,0,0,0,0,0x00,0,0
156,641,905,80,178,0x5054,0xB200,708,0,553,719,0x02EF,0,0,0,0,0x00,0,0
157,644,905,80,178,0x5018,0xB200,708,0,556,719,0x02EF,0,0,0,0,0x00,0,0
158,646,905,80,178,0x50DC,0xB200,708,0,558,719,0x02EF,0,0,0,0,0x00,0,0
159,649,905,80,178,0x50A0,0xB200,708,0,561,719,0x02EF,0,0,0,0,0x00,0,0
160,652,905,80,178,0x5064,0xB200,708,0,564,719,0x02EF,0,0,0,0,0x00,0,0
161,655,905,80,178,0x5028,0xB200,708,0,567,719,0x02EF,0,0,0,0,0x00,0,0
162,657,905,80,178,0x50EC,0xB200,708,0,569,719,0x02EF,0,0,0,0,0x00,0,0
163,660,905,80,178,0x50B0,0xB200,708,0,572,719,0x02EF,0,0,0,0,0x00,0,0
164,663,905,80,178,0x5074,0xB200,708,0,575,719,0x02EF,0,0,0,0,0x00,0,0
165,666,905,80,178,0x5038,0xB200,708,0,578,719,0x02EF,0,0,0,0,0x00,0,0
166,668,905,80,178,0x50FC,0xB200,708,0,580,719,0x02EF,0,0,0,0,0x00,0,0
167,671,905,80,178,0x50C0,0xB200,708,0,583,719,0x02EF,0,0,0,0,0x00,0,0
168,674,905,80,178,0x5084,0xB200,708,0,586,719,0x02EF,0,0,0,0,0x00,0,0
169,677,905,80,178,0x5048,0xB200,708,0,589,719,0x02EF,0,0,0,0,0x00,0,0
170,680,905,80,178,0x500C,0xB200,708,0,592,719,0x02EF,0,0,0,0,0x00,0,0
171,682,905,80,178,0x50D0,0xB200,708,0,594,719,0x02EF,0,0,0,0,0x00,0,0
172,685,905,80,178,0x5094,0xB200,708,0,597,719,0x02EF,0,0,0,0,0x00,0,0
173,688,905,80,178,0x5058,0xB200,708,0,600,719,0x02EF,0,0,0,0,0x00,0,0
174,691,905,80,178,0x501C,0xB200,708,0,603,719,0x02EF,0,0,0,0,0x00,0,0
175,693,905,80,178,0x50E0,0xB200,708,0,605,719,0x02EF,0,0,0,0,0x00,0,0
176,696,905,80,178,0x50A4,0xB200,708,0,608,719,0x02EF,0,0,0,0,0x00,0,0
177,699,905,80,178,0x5068,0xB200,708,0,611,719,0x02EF,0,0,0,0,0x00,0,0
178,702,905,80,178,0x502C,0xB200,708,0,614,719,0x02EF,0,0,0,0,0x00,0,0
179,704,905,80,178,0x50F0,0xB200,708,0,616,719,0x02EF,0,0,0,0,0x00,0,0
180,707,905,80,178,0x50B4,0xB200,708,0,619,719,0x02EF,0,0,0,0,0x00,0,0
181,710,905,80,178,0x5078,0xB200,708,0,622,719,0x02EF,0,0,0,0,0x00,0,0
182,713,905,80,178,0x503C,0xB200,708,0,625,719,0x02EF,0,0,0,0,0x00,0,0
183,716,905,80,178,0x5000,0xB200,708,0,628,719,0x02EF,0,0,0,0,0x00,0,0
184,718,905,80,178,0x50C4,0xB200,708,0,630,719,0x02EF,0,0,0,0,0x00,0,0
185,721,905,80,178,0x5088,0xB200,708,0,633,719,0x02EF,0,0,0,0,0x00,0,0
186,724,905,80,178,0x504C,0xB200,708,0,636,719,0x02EF,0,0,0,0,0x00,0,0
187,727,905,80,178,0x5010,0xB200,708,0,639,719,0x02EF,0,0,0,0,0x00,0,0
188,729,905,80,178,0x50D4,0xB200,708,0,641,719,0x02EF,0,0,0,0,0x00,0,0
189,732,905,80,178,0x5098,0xB200,708,0,644,719,0x02EF,0,0,0,0,0x00,0,0
190,735,905,80,178,0x505C,0xB200,708,0,647,719,0x02EF,0,0,0,0,0x00,0,0
191,738,905,80,178,0x5020,0xB200,708,0,650,719,0x02EF,0,0,0,0,0x00,0,0
192,740,905,80,178,0x50E4,0xB200,708,0,652,719,0x02EF,0,0,0,0,0x00,0,0
193,743,905,80,178,0x50A8,0xB200,708,0,655,719,0x02EF,0,0,0,0,0x00,0,0
194,746,905,80,178,0x506C,0xB200,708,0,658,719,0x02EF,0,0,0,0,0x00,0,0
195,749,905,80,178,0x5030,0xB200,708,0,661,719,0x02EF,0,0,0,0,0x00,0,0
196,751,905,80,178,0x50F4,0xB200,708,0,663,719,0x02EF,0,0,0,0,0x00,0,0
197,754,905,80,178,0x50B8,0xB200,708,0,666,719,0x02EF,0,0,0,0,0x00,0,0
198,757,905,80,178,0x507C,0xB200,708,0,669,719,0x02EF,0,0,0,0,0x00,0,0
199,760,905,80,178,0x5040,0xB200,708,0,672,719,0x02EF,0,0,0,0,0x00,0,0
200,763,905,80,178,0x5004,0xB200,708,0,675,719,0x02EF,0,0,0,0,0x00,0,0
201,765,905,80,178,0x50C8,0xB200,708,0,677,719,0x02EF,0,0,0,0,0x00,0,0
202,768,905,80,178,0x508C,0xB200,708,0,680,719,0x02EF,0,0,0,0,0x00,0,0
203,771,905,80,178,0x5050,0xB200,708,0,683,719,0x02EF,0,0,0,0,0x00,0,0
204,774,905,80,178,0x5014,0xB200,708,0,686,719,0x02EF,0,0,0,0,0x00,0,0
205,776,905,80,178,0x50D8,0xB200,708,0,688,719,0x02EF,0,0,0,0,0x00,0,0
206,779,905,80,178,0x509C,0xB200,708,0,691,719,0x02EF,0,0,0,0,0x00,0,0
207,782,905,80,178,0x5060,0xB200,708,0,694,719,0x02EF,0,0,0,0,0x00,0,0
208,785,905,80,178,0x5024,0xB200,708,0,697,719,0x02EF,0,0,0,0,0x00,0,0
209,787,905,80,178,0x50E8,0xB200,708,0,699,719,0x02EF,0,0,0,0,0x00,0,0
210,790,905,80,178,0x50AC,0xB200,708,0,702,719,0x02EF,0,0,0,0,0x00,0,0
211,793,905,80,178,0x5070,0xB200,708,0,705,719,0x02EF,0,0,0,0,0x00,0,0
212,796,905,80,178,0x5034,0xB200,708,0,708,719,0x02EF,0,0,0,0,0x00,0,0
213,798,905,80,178,0x50F8,0xB200,708,0,710,719,0x02EF,0,0,0,0,0x00,0,0
214,801,905,80,178,0x50BC,0xB200,708,0,713,719,0x02EF,0,0,0,0,0x00,0,0
215,804,905,80,178,0x5080,0xB200,708,0,716,719,0x02EF,0,0,0,0,0x00,0,0
216,807,905,80,178,0x5044,0xB200,708,0,719,719,0x02EF,0,0,0,0,0x00,0,0
217,810,905,80,178,0x5008,0xB200,708,-1424,722,719,0x02EF,0,0,0,0,0x00,0,0
218,812,899,80,172,0x50CC,0xACDB,708,-1317,724,719,0x02EF,0,0,0,0,0x00,0,0
219,815,895,80,168,0x5090,0xA821,708,-1210,727,719,0x02EF,0,0,0,0,0x00,0,0
220,818,890,80,163,0x5054,0xA3D2,708,-1103,730,719,0x02EF,0,0,0,0,0x00,0,0
221,821,886,80,159,0x5018,0x9FEE,708,-996,733,719,0x02EF,0,0,0,0,0x00,0,0
222,823,883,80,156,0x50DC,0x9C75,708,-889,735,719,0x02EF,0,0,0,0,0x00,0,0
223,826,880,80,153,0x50A0,0x9967,708,-782,738,719,0x02EF,0,0,0,0,0x00,0,0
224,829,877,80,150,0x5064,0x96C4,708,-675,741,719,0x02EF,0,0,0,0,0x00,0,0
225,832,875,80,148,0x5028,0x948C,708,-568,744,719,0x02EF,0,0,0,0,0x00,0,0
226,834,873,80,146,0x50EC,0x92BF,708,-461,746,719,0x02EF,0,0,0,0,0x00,0,0
227,837,872,80,145,0x50B0,0x915D,708,-354,749,719,0x02EF,0,0,0,0,0x00,0,0
228,840,871,80,144,0x5074,0x9066,708,-247,752,719,0x02EF,0,0,0,0,0x00,0,0
229,843,870,80,143,0x5038,0x8FDA,708,-140,755,719,0x02EF,0,0,0,0,0x00,0,0
230,845,870,80,143,0x50FC,0x8FB9,708,-33,757,719,0x02EF,0,0,0,0,0x00,0,0
231,848,871,80,144,0x50C0,0x9003,708,74,760,719,0x02EF,0,0,0,0,0x00,0,0
232,851,871,80,144,0x5084,0x90B8,708,181,763,719,0x02EF,0,0,0,0,0x00,0,0
