frame,X_fixed,Y_fixed,VelY_fixed,VelX_fixed,X_px,Y_px,gravity,mini,gamemode,onGround
207,0x50C0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
208,0x5084,0xB200,0x0000,0x02C4,80,178,0,0,0,1
209,0x5048,0xB200,0x0000,0x02C4,80,178,0,0,0,1
210,0x500C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
211,0x50D0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
212,0x5094,0xB200,0x0000,0x02C4,80,178,0,0,0,1
213,0x5058,0xB200,0x0000,0x02C4,80,178,0,0,0,1
214,0x501C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
215,0x50E0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
216,0x50A4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
217,0x5068,0xB200,0x0000,0x02C4,80,178,0,0,0,1
218,0x502C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
219,0x50F0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
220,0x50B4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
221,0x5078,0xB200,0x0000,0x02C4,80,178,0,0,0,1
222,0x503C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
223,0x5000,0xB200,0x0000,0x02C4,80,178,0,0,0,1
224,0x50C4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
225,0x5088,0xB200,0xFA70,0x02C4,80,178,0,0,0,0
226,0x504C,0xACDB,0xFADB,0x02C4,80,172,0,0,0,0
227,0x5010,0xA821,0xFB46,0x02C4,80,168,0,0,0,0
228,0x50D4,0xA3D2,0xFBB1,0x02C4,80,163,0,0,0,0
229,0x5098,0x9FEE,0xFC1C,0x02C4,80,159,0,0,0,0
230,0x505C,0x9C75,0xFC87,0x02C4,80,156,0,0,0,0
231,0x5020,0x9967,0xFCF2,0x02C4,80,153,0,0,0,0
232,0x50E4,0x96C4,0xFD5D,0x02C4,80,150,0,0,0,0
233,0x50A8,0x948C,0xFDC8,0x02C4,80,148,0,0,0,0
234,0x506C,0x92BF,0xFE33,0x02C4,80,146,0,0,0,0
235,0x5030,0x915D,0xFE9E,0x02C4,80,145,0,0,0,0
236,0x50F4,0x9066,0xFF09,0x02C4,80,144,0,0,0,0
237,0x50B8,0x8FDA,0xFF74,0x02C4,80,143,0,0,0,0
238,0x507C,0x8FB9,0xFFDF,0x02C4,80,143,0,0,0,0
239,0x5040,0x9003,0x004A,0x02C4,80,144,0,0,0,0
240,0x5004,0x90B8,0x00B5,0x02C4,80,144,0,0,0,0
241,0x50C8,0x91D8,0x0120,0x02C4,80,145,0,0,0,0
242,0x508C,0x9363,0x018B,0x02C4,80,147,0,0,0,0
243,0x5050,0x9559,0x01F6,0x02C4,80,149,0,0,0,0
244,0x5014,0x97BA,0x0261,0x02C4,80,151,0,0,0,0
245,0x50D8,0x9A86,0x02CC,0x02C4,80,154,0,0,0,0
246,0x509C,0x9DBD,0x0337,0x02C4,80,157,0,0,0,0
247,0x5060,0xA15F,0x03A2,0x02C4,80,161,0,0,0,0
248,0x5024,0xA56C,0x040D,0x02C4,80,165,0,0,0,0
249,0x50E8,0xA9E4,0x0478,0x02C4,80,169,0,0,0,0
250,0x50AC,0xAEC7,0x04E3,0x02C4,80,174,0,0,0,0
251,0x5070,0xB200,0x0000,0x02C4,80,178,0,0,0,1
252,0x5034,0xB200,0x0000,0x02C4,80,178,0,0,0,1
253,0x50F8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
254,0x50BC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
255,0x5080,0xB200,0x0000,0x02C4,80,178,0,0,0,1
256,0x5044,0xB200,0x0000,0x02C4,80,178,0,0,0,1
257,0x5008,0xB200,0x0000,0x02C4,80,178,0,0,0,1
258,0x50CC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
259,0x5090,0xB200,0x0000,0x02C4,80,178,0,0,0,1
260,0x5054,0xB200,0x0000,0x02C4,80,178,0,0,0,1
261,0x5018,0xB200,0x0000,0x02C4,80,178,0,0,0,1
262,0x50DC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
263,0x50A0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
264,0x5064,0xB200,0x0000,0x02C4,80,178,0,0,0,1
265,0x5028,0xB200,0x0000,0x02C4,80,178,0,0,0,1
266,0x50EC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
267,0x50B0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
268,0x5074,0xB200,0x0000,0x02C4,80,178,0,0,0,1
269,0x5038,0xB200,0x0000,0x02C4,80,178,0,0,0,1
270,0x50FC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
271,0x50C0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
272,0x5084,0xB200,0x0000,0x02C4,80,178,0,0,0,1
273,0x5048,0xB200,0x0000,0x02C4,80,178,0,0,0,1
274,0x500C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
275,0x50D0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
276,0x5094,0xB200,0x0000,0x02C4,80,178,0,0,0,1
277,0x5058,0xB200,0x0000,0x02C4,80,178,0,0,0,1
278,0x501C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
279,0x50E0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
280,0x50A4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
281,0x5068,0xB200,0x0000,0x02C4,80,178,0,0,0,1
282,0x502C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
283,0x50F0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
284,0x50B4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
285,0x5078,0xB200,0x0000,0x02C4,80,178,0,0,0,1
286,0x503C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
287,0x5000,0xB200,0x0000,0x02C4,80,178,0,0,0,1
288,0x50C4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
289,0x5088,0xB200,0x0000,0x02C4,80,178,0,0,0,1
290,0x504C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
291,0x5010,0xB200,0x0000,0x02C4,80,178,0,0,0,1
292,0x50D4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
293,0x5098,0xB200,0x0000,0x02C4,80,178,0,0,0,1
294,0x505C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
295,0x5020,0xB200,0x0000,0x02C4,80,178,0,0,0,1
296,0x50E4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
297,0x50A8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
298,0x506C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
299,0x5030,0xB200,0x0000,0x02C4,80,178,0,0,0,1
300,0x50F4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
301,0x50B8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
302,0x507C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
303,0x5040,0xB200,0x0000,0x02C4,80,178,0,0,0,1
304,0x5004,0xB200,0x0000,0x02C4,80,178,0,0,0,1
305,0x50C8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
306,0x508C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
307,0x5050,0xB200,0x0000,0x02C4,80,178,0,0,0,1
308,0x5014,0xB200,0x0000,0x02C4,80,178,0,0,0,1
309,0x50D8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
310,0x509C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
311,0x5060,0xB200,0x0000,0x02C4,80,178,0,0,0,1
312,0x5024,0xB200,0x0000,0x02C4,80,178,0,0,0,1
313,0x50E8,0xB200,0x0000,0x02C4,80,178,0,0,0,1
314,0x50AC,0xB200,0x0000,0x02C4,80,178,0,0,0,1
315,0x5070,0xB200,0x0000,0x02C4,80,178,0,0,0,1
316,0x5034,0xB200,0xFA70,0x02C4,80,178,0,0,0,0
317,0x50F8,0xACDB,0xFADB,0x02C4,80,172,0,0,0,0
318,0x50BC,0xA821,0xFB46,0x02C4,80,168,0,0,0,0
