[PF f=127] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=128] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=129] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=130] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=131] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=132] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=133] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=134] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=135] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=136] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=137] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=138] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=139] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=140] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=141] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=142] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=143] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=144] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=145] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=146] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=147] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=148] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=149] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=150] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=151] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=152] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=153] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=154] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=155] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=156] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=157] [PHYSICS] Mode=6, gravity=00, mini=0, table_idx=0
[PF f=158] [PHYSICS] Mode=6, gravity=00, mini=0, table_idx=0
[PF f=159] [PHYSICS] Mode=6, gravity=00, mini=0, table_idx=0
[PF f=160] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=161] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=162] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=163] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=164] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=165] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=166] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=167] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=168] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=169] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=170] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=171] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=172] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=173] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=174] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=175] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=176] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=177] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=178] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=179] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=180] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=181] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=182] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=183] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=184] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=185] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=186] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=187] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=188] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=189] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=190] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=191] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=192] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=193] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=194] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=195] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=196] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=197] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=198] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=199] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=200] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=201] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=202] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=203] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=204] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=205] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=206] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=207] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=208] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=209] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=210] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=211] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=212] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=213] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=214] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=215] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=216] [PHYSICS] Mode=6, gravity=00, mini=1, table_idx=4
[PF f=217] [PHYSICS] Mode=0, gravity=00, mini=1, table_idx=4
[PF f=218] [PHYSICS] Mode=0, gravity=00, mini=1, table_idx=4
[PF f=219] [PHYSICS] Mode=0, gravity=00, mini=1, table_idx=4
[PF f=220] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=221] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=222] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=223] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=224] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=225] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=226] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=227] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=228] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=229] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=230] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=231] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=232] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=233] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=234] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=235] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=236] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=237] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=238] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=239] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=240] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=241] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=242] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=243] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=244] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=245] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=246] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=247] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=248] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=249] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=250] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=251] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=252] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=253] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=254] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=255] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=256] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=257] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=258] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=259] [PHYSICS] Mode=0, gravity=00, mini=0, table_idx=0
[PF f=260] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=261] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=262] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=263] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=264] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=265] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
[PF f=266] [PHYSICS] Mode=0, gravity=FF, mini=0, table_idx=0
