sim |  NES_y NES_vy | PF_y PF_vy onG mode mini | dy dvy  CHG
1242 |   296      0 |  296      0 1 2 0 |  +0    +0  CHG (was -142)
1243 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was 0)
1245 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1246 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -142)
1247 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1248 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1249 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1250 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1251 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1252 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1253 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1254 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1256 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1257 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -142)
1258 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1259 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1260 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1261 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1262 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1263 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1264 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1265 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1267 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1268 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -142)
1269 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1270 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1271 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1272 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1273 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1274 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1275 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1276 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1278 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1279 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -142)
1280 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1281 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1282 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1283 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1284 |   296    -71 |  296    512 0 2 0 |  +0  -583  CHG (was 71)
1285 |   296    512 |  299    583 0 2 0 |  -3   -71  CHG (was -583)
1297 |   342   1364 |  344      0 1 2 0 |  -2 +1364  CHG (was -71)
1298 |   344      0 |  344      0 1 2 0 |  +0    +0  CHG (was 1364)
1300 |   344      0 |  344   -512 0 2 0 |  +0  +512  CHG (was 0)
1301 |   344   -512 |  342   -583 0 2 0 |  +2   +71  CHG (was 512)
1313 |   299  -1364 |  296    512 0 2 0 |  +3 -1876  CHG (was 71)
